name,count,label
上海市 上海市 嘉定区,1410,通過
上海市 上海市 宝山区,22,通過
上海市 上海市 徐汇区,1833,宿泊
上海市 上海市 普陀区,777,宿泊
上海市 上海市 杨浦区,332,宿泊
上海市 上海市 松江区,3096,宿泊
上海市 上海市 浦东新区,2841,宿泊
上海市 上海市 虹口区,270,訪問
上海市 上海市 金山区,572,通過
上海市 上海市 长宁区,1101,宿泊
上海市 上海市 闵行区,2302,訪問
上海市 上海市 青浦区,406,宿泊
上海市 上海市 静安区,1113,宿泊
上海市 上海市 黄浦区,1181,宿泊
北京市 北京市 东城区,1197,訪問
北京市 北京市 丰台区,1071,訪問
北京市 北京市 大兴区,834,通過
北京市 北京市 房山区,915,通過
北京市 北京市 朝阳区,582,宿泊
北京市 北京市 海淀区,1872,訪問
北京市 北京市 石景山区,703,宿泊
北京市 北京市 西城区,1035,訪問
四川省 成都市 双流区,315,訪問
四川省 成都市 武侯区,365,宿泊
四川省 成都市 锦江区,204,訪問
四川省 成都市 青羊区,201,宿泊
天津市 天津市 北辰区,534,通過
天津市 天津市 武清区,717,通過
天津市 天津市 河北区,51,通過
天津市 天津市 红桥区,96,通過
天津市 天津市 西青区,697,通過
天津市 天津市 静海区,1128,通過
安徽省 亳州市 利辛县,518,通過
安徽省 亳州市 涡阳县,549,通過
安徽省 亳州市 谯城区,846,通過
安徽省 六安市 裕安区,632,通過
安徽省 六安市 金安区,277,通過
安徽省 六安市 金寨县,995,通過
安徽省 合肥市 包河区,296,通過
安徽省 合肥市 巢湖市,757,通過
安徽省 合肥市 瑶海区,165,通過
安徽省 合肥市 肥东县,1386,通過
安徽省 合肥市 肥西县,437,通過
安徽省 合肥市 蜀山区,115,通過
安徽省 合肥市 长丰县,820,通過
安徽省 宣城市 宣州区,507,通過
安徽省 宣城市 广德市,507,通過
安徽省 宣城市 绩溪县,410,通過
安徽省 宣城市 郎溪县,149,通過
安徽省 宿州市 埇桥区,2560,通過
安徽省 宿州市 砀山县,1424,通過
安徽省 宿州市 萧县,1738,通過
安徽省 淮北市 杜集区,263,通過
安徽省 淮北市 濉溪县,526,通過
安徽省 淮北市 相山区,76,通過
安徽省 淮南市 凤台县,354,通過
安徽省 淮南市 大通区,211,通過
安徽省 淮南市 潘集区,242,通過
安徽省 淮南市 田家庵区,206,通過
安徽省 滁州市 全椒县,1784,通過
安徽省 滁州市 凤阳县,1139,通過
安徽省 滁州市 南谯区,1349,通過
安徽省 滁州市 定远县,758,通過
安徽省 滁州市 明光市,634,通過
安徽省 滁州市 琅琊区,130,通過
安徽省 芜湖市 弋江区,177,通過
安徽省 芜湖市 湾沚区,310,通過
安徽省 芜湖市 镜湖区,179,通過
安徽省 芜湖市 鸠江区,363,通過
安徽省 蚌埠市 固镇县,1661,通過
安徽省 蚌埠市 淮上区,544,通過
安徽省 蚌埠市 龙子湖区,513,通過
安徽省 阜阳市 太和县,368,通過
安徽省 阜阳市 阜南县,629,通過
安徽省 阜阳市 颍上县,361,通過
安徽省 阜阳市 颍东区,693,通過
安徽省 阜阳市 颍州区,414,通過
安徽省 阜阳市 颍泉区,341,通過
安徽省 马鞍山市 含山县,314,通過
安徽省 黄山市 休宁县,571,通過
安徽省 黄山市 屯溪区,241,通過
安徽省 黄山市 徽州区,190,通過
安徽省 黄山市 歙县,801,通過
山东省 临沂市 临沭县,0,通過
山东省 临沂市 沂南县,0,通過
山东省 临沂市 沂水县,0,通過
山东省 临沂市 河东区,0,通過
山东省 临沂市 莒南县,0,通過
山东省 临沂市 蒙阴县,95,宿泊
山东省 威海市 乳山市,0,通過
山东省 威海市 文登区,0,通過
山东省 威海市 环翠区,0,訪問
山东省 威海市 荣成市,0,訪問
山东省 德州市 平原县,675,通過
山东省 德州市 德城区,717,通過
山东省 德州市 禹城市,640,通過
山东省 德州市 陵城区,279,通過
山东省 德州市 齐河县,703,通過
山东省 日照市 东港区,0,訪問
山东省 日照市 五莲县,0,通過
山东省 日照市 岚山区,0,通過
山东省 日照市 莒县,0,通過
山东省 枣庄市 台儿庄区,152,訪問
山东省 枣庄市 峄城区,157,通過
山东省 枣庄市 滕州市,1953,通過
山东省 枣庄市 薛城区,1102,通過
山东省 泰安市 东平县,0,訪問
山东省 泰安市 宁阳县,1405,訪問
山东省 泰安市 岱岳区,4680,訪問
山东省 泰安市 新泰市,0,通過
山东省 泰安市 泰山区,5218,住居
山东省 泰安市 肥城市,0,通過
山东省 济南市 历下区,0,訪問
山东省 济南市 历城区,1993,接地
山东省 济南市 天桥区,245,通過
山东省 济南市 市中区,604,通過
山东省 济南市 槐荫区,462,宿泊
山东省 济南市 章丘区,58,通過
山东省 济南市 莱芜区,1622,訪問
山东省 济南市 钢城区,1195,通過
山东省 济南市 长清区,1060,宿泊
山东省 济宁市 任城区,301,通過
山东省 济宁市 兖州区,673,住居
山东省 济宁市 嘉祥县,279,通過
山东省 济宁市 微山县,356,通過
山东省 济宁市 曲阜市,3312,訪問
山东省 济宁市 梁山县,0,通過
山东省 济宁市 邹城市,1459,通過
山东省 淄博市 临淄区,0,通過
山东省 淄博市 博山区,0,通過
山东省 淄博市 周村区,0,通過
山东省 淄博市 张店区,0,通過
山东省 淄博市 沂源县,1199,通過
山东省 淄博市 淄川区,0,通過
山东省 潍坊市 奎文区,0,訪問
山东省 潍坊市 寿光市,0,通過
山东省 潍坊市 昌乐县,0,通過
山东省 潍坊市 潍城区,0,通過
山东省 潍坊市 诸城市,0,通過
山东省 潍坊市 青州市,0,通過
山东省 烟台市 海阳市,0,通過
山东省 烟台市 莱阳市,0,通過
山东省 菏泽市 定陶区,269,通過
山东省 菏泽市 巨野县,518,通過
山东省 菏泽市 曹县,580,通過
山东省 菏泽市 牡丹区,469,訪問
山东省 菏泽市 郓城县,0,通過
山东省 青岛市 即墨区,0,通過
山东省 青岛市 城阳区,0,通過
山东省 青岛市 市北区,0,通過
山东省 青岛市 市南区,0,宿泊
山东省 青岛市 李沧区,0,通過
山东省 青岛市 胶州市,0,通過
山东省 青岛市 黄岛区,0,訪問
广东省 东莞市 东莞市,320,通過
广东省 中山市 中山市,513,通過
广东省 佛山市 南海区,292,通過
广东省 佛山市 顺德区,757,通過
广东省 广州市 南沙区,274,通過
广东省 广州市 天河区,175,訪問
广东省 广州市 海珠区,532,宿泊
广东省 广州市 番禺区,673,宿泊
广东省 广州市 白云区,1326,宿泊
广东省 广州市 花都区,725,接地
广东省 广州市 荔湾区,265,接地
广东省 广州市 越秀区,494,訪問
广东省 惠州市 惠东县,406,通過
广东省 惠州市 惠阳区,238,通過
广东省 揭阳市 惠来县,205,通過
广东省 揭阳市 普宁市,364,通過
广东省 揭阳市 榕城区,86,通過
广东省 汕头市 潮阳区,234,通過
广东省 汕头市 澄海区,69,通過
广东省 汕尾市 城区,218,通過
广东省 汕尾市 海丰县,497,通過
广东省 汕尾市 陆丰市,550,通過
广东省 江门市 台山市,749,通過
广东省 江门市 开平市,815,宿泊
广东省 江门市 恩平市,394,訪問
广东省 江门市 新会区,657,通過
广东省 江门市 江海区,258,通過
广东省 深圳市 光明区,164,通過
广东省 深圳市 坪山区,111,通過
广东省 深圳市 宝安区,113,通過
广东省 深圳市 福田区,2,通過
广东省 深圳市 龙华区,155,通過
广东省 深圳市 龙岗区,329,通過
广东省 清远市 清城区,1474,通過
广东省 清远市 英德市,2504,通過
广东省 潮州市 湘桥区,110,通過
广东省 潮州市 潮安区,203,通過
广东省 潮州市 饶平县,279,通過
广东省 韶关市 乐昌市,1779,通過
广东省 韶关市 乳源瑶族自治县,263,通過
广东省 韶关市 曲江区,936,通過
广东省 韶关市 武江区,244,通過
广东省 韶关市 浈江区,757,通過
广西壮族自治区 北海市 海城区,174,訪問
广西壮族自治区 北海市 银海区,521,宿泊
广西壮族自治区 桂林市 全州县,1441,通過
广西壮族自治区 桂林市 兴安县,675,通過
广西壮族自治区 桂林市 叠彩区,122,接地
广西壮族自治区 桂林市 灵川县,486,通過
广西壮族自治区 桂林市 秀峰区,45,宿泊
广西壮族自治区 桂林市 象山区,110,訪問
日本 兵庫県 三田市,52,接地
日本 兵庫県 伊丹市,45,通過
日本 兵庫県 宝塚市,138,訪問
日本 兵庫県 尼崎市,156,接地
日本 兵庫県 川西市,47,通過
日本 兵庫県 神戸市 中央区,145,訪問
日本 兵庫県 神戸市 北区,317,通過
日本 兵庫県 神戸市 東灘区,58,通過
日本 兵庫県 神戸市 灘区,42,通過
日本 兵庫県 芦屋市,28,通過
日本 兵庫県 西宮市,250,訪問
日本 千葉県 印西市,171,通過
日本 千葉県 山武郡 芝山町,12,通過
日本 千葉県 市川市,29,通過
日本 千葉県 成田市,301,訪問
日本 千葉県 松戸市,89,通過
日本 千葉県 柏市,1,通過
日本 千葉県 白井市,81,通過
日本 千葉県 船橋市,21,通過
日本 千葉県 鎌ケ谷市,40,通過
日本 大阪府 堺市 堺区,93,通過
日本 大阪府 堺市 西区,54,通過
日本 大阪府 大阪市 中央区,116,訪問
日本 大阪府 大阪市 住之江区,39,通過
日本 大阪府 大阪市 住吉区,37,通過
日本 大阪府 大阪市 北区,220,訪問
日本 大阪府 大阪市 大正区,7,通過
日本 大阪府 大阪市 天王寺区,19,接地
日本 大阪府 大阪市 此花区,171,訪問
日本 大阪府 大阪市 浪速区,169,訪問
日本 大阪府 大阪市 淀川区,51,通過
日本 大阪府 大阪市 港区,25,通過
日本 大阪府 大阪市 福島区,149,接地
日本 大阪府 大阪市 西区,59,通過
日本 大阪府 大阪市 西成区,207,宿泊
日本 大阪府 大阪市 西淀川区,69,訪問
日本 大阪府 岸和田市,86,通過
日本 大阪府 泉佐野市,171,接地
日本 大阪府 泉北郡 忠岡町,17,通過
日本 大阪府 泉南市,4,通過
日本 大阪府 泉南郡 田尻町,91,接地
日本 大阪府 泉大津市,66,通過
日本 大阪府 貝塚市,43,通過
日本 大阪府 高石市,68,通過
日本 岐阜県 加茂郡 坂祝町,59,通過
日本 岐阜県 加茂郡 富加町,19,通過
日本 岐阜県 各務原市,144,通過
日本 岐阜県 岐阜市,156,訪問
日本 岐阜県 美濃加茂市,90,接地
日本 岐阜県 美濃市,375,宿泊
日本 岐阜県 羽島郡 岐南町,63,通過
日本 岐阜県 羽島郡 笠松町,16,通過
日本 岐阜県 郡上市,1102,宿泊
日本 岐阜県 関市,225,通過
日本 愛知県 一宮市,145,通過
日本 愛知県 丹羽郡 扶桑町,57,通過
日本 愛知県 北名古屋市,44,通過
日本 愛知県 名古屋市 中区,16,通過
日本 愛知県 名古屋市 中川区,45,通過
日本 愛知県 名古屋市 中村区,63,訪問
日本 愛知県 名古屋市 南区,91,通過
日本 愛知県 名古屋市 港区,1,通過
日本 愛知県 名古屋市 熱田区,59,通過
日本 愛知県 名古屋市 瑞穂区,2,通過
日本 愛知県 名古屋市 西区,79,通過
日本 愛知県 岩倉市,57,通過
日本 愛知県 常滑市,278,接地
日本 愛知県 東海市,148,通過
日本 愛知県 江南市,72,通過
日本 愛知県 清須市,81,通過
日本 愛知県 犬山市,45,通過
日本 愛知県 知多市,154,通過
日本 愛知県 稲沢市,79,通過
日本 東京都 世田谷区,45,訪問
日本 東京都 中央区,66,通過
日本 東京都 千代田区,236,訪問
日本 東京都 台東区,62,接地
日本 東京都 品川区,21,通過
日本 東京都 墨田区,134,宿泊
日本 東京都 大田区,132,接地
日本 東京都 文京区,66,通過
日本 東京都 新宿区,122,訪問
日本 東京都 渋谷区,134,訪問
日本 東京都 港区,118,接地
日本 東京都 目黒区,16,通過
日本 東京都 荒川区,37,通過
日本 東京都 葛飾区,83,通過
日本 東京都 豊島区,119,訪問
